,InAcc ID, 2020 total amount ,GSC Top3,GSC Top3 pct,GSC Recommendation Top3
89,71488," 33,750,937 ","FIQ - TAPE TERM/SPLICING KITS,FIL - 23 RUBBER TAPE,FIR - 13 SEMI-CONDUCTING TAPE",0.932540775,"('FIC - 33 VINYL TAPE', 3193839.640960685)('FIN - ALL MASTICS', 3020771.3305545896)('FIE - 35 VINYL TAPE', 2355333.086939349)"
652,215051," 13,308,399 ","SLR - LIGHT REDIRECTING FILMS,FJM - QTIII RUBBER TERMINATIONS",1,"('RWI - DIELECTRIC TAPES', 1976106.7430791021)('BQD - DIELECTRIC AND COSMETIC FILM', 1717685.310989127)('FJF - QSIII & QS-2000 SPLICES', 1554.7681836461988)"
418,156337," 10,636,447 ",FTM - POLYESTER FILM TAPES,1,"('FTB - COMPOSITE, ACETATE & PAPER', 4480055.588002985)('FTU - 92/1205 & OTH HI-TEMP', 3383480.233071713)('FTZ - 1/S10/S20 EPOXY TAPES', 3277799.615884204)"
1842,293545," 9,741,250 ",RWA - SOLAR ACRYLIC FOAM TAPES,1,"('FJB - COLD SHRINK TUBING', 994212.1648702766)('RWR - WIND PROTECTION TAPES', 662808.1099135176)('RWO - WIND PROCESSING AIDS', 437395.0370920803)"
698,216415," 8,777,211 ","SLR - LIGHT REDIRECTING FILMS,RWI - DIELECTRIC TAPES",1,"('BQD - DIELECTRIC AND COSMETIC FILM', 1187599.9538173527)('FJM - QTIII RUBBER TERMINATIONS', 93484.95491012809)()"
29,58665," 8,588,910 ","FJI - SEPARABLE CONNECTORS,FJF - QSIII & QS-2000 SPLICES,FJL - QTII,RUBBER, PORCELAIN TERMI",0.880200534,"('FJC - ENERGY RESINS', 1514527.2348447565)('FJZ - MISC PRODUCT - POWER PROD', 1399543.6181284823)('FIT - SILICONE TAPE', 524716.8384049827)"
32,58686," 7,709,681 ","FJL - QTII,RUBBER, PORCELAIN TERMI,FJF - QSIII & QS-2000 SPLICES,FJI - SEPARABLE CONNECTORS",0.916656619,"('FIT - SILICONE TAPE', 537859.5567115303)('FIQ - TAPE TERM/SPLICING KITS', 380958.48761507706)('FIN - ALL MASTICS', 366895.2921607562)"
1048,262261," 7,076,204 ","FTM - POLYESTER FILM TAPES,FTU - 92/1205 & OTH HI-TEMP,FTB - COMPOSITE, ACETATE & PAPER",0.9955919,"('FSQ - GLASS CLOTH TAPES', 1645910.3998869164)('FSB - COPPER FOIL TAPES', 1320215.3281618601)('FTR - OEM REINFORCED FILAMENT TAPE', 1233360.1179778515)"
57,69801," 6,263,123 ",FTM - POLYESTER FILM TAPES,1,"('FTB - COMPOSITE, ACETATE & PAPER', 2638018.165021803)('FTU - 92/1205 & OTH HI-TEMP', 1992315.0819238084)('FTZ - 1/S10/S20 EPOXY TAPES', 1930086.5264170596)"
965,253495," 6,131,841 ","FTM - POLYESTER FILM TAPES,FTU - 92/1205 & OTH HI-TEMP",1,"('FTB - COMPOSITE, ACETATE & PAPER', 2524636.073603239)('FTZ - 1/S10/S20 EPOXY TAPES', 1852633.6778730187)('FSQ - GLASS CLOTH TAPES', 1444700.5618998446)"
3012,309348," 6,113,403 ",SLR - LIGHT REDIRECTING FILMS,1,"('RWI - DIELECTRIC TAPES', 907975.6485710666)('BQD - DIELECTRIC AND COSMETIC FILM', 789236.9376039909)('FJM - QTIII RUBBER TERMINATIONS', 67038.73143811776)"
660,215750," 5,894,664 ",RWO - WIND PROCESSING AIDS,1,"('RWR - WIND PROTECTION TAPES', 720362.8766854806)('RWA - SOLAR ACRYLIC FOAM TAPES', 264678.2216284302)('FJB - COLD SHRINK TUBING', 216108.86300564418)"
1227,276370," 5,646,782 ",RWR - WIND PROTECTION TAPES,1,"('RWO - WIND PROCESSING AIDS', 690070.2051885927)('RWA - SOLAR ACRYLIC FOAM TAPES', 384214.82962998474)('FJB - COLD SHRINK TUBING', 313710.0947346113)"
1599,288647," 5,475,965 ","RWO - WIND PROCESSING AIDS,RWR - WIND PROTECTION TAPES,RWA - SOLAR ACRYLIC FOAM TAPES",0.994359843,"('FIU - BARRICADE TAPE', 3639.867511496813)('FIN - ALL MASTICS', 1677.4592355676339)('FJC - ENERGY RESINS', 1160.7406534337886)"
658,215267," 5,169,509 ","FTU - 92/1205 & OTH HI-TEMP,FTB - COMPOSITE, ACETATE & PAPER,FTM - POLYESTER FILM TAPES",0.953404196,"('FSQ - GLASS CLOTH TAPES', 1186401.9757552845)('FSB - COPPER FOIL TAPES', 883690.5001679432)('FTF - 60 TO 63 PTFE HI-TEMP TAPES', 576664.116946663)"
623,214232," 4,631,970 ","RWR - WIND PROTECTION TAPES,RWO - WIND PROCESSING AIDS",1,"('RWA - SOLAR ACRYLIC FOAM TAPES', 264883.78359424253)('FJB - COLD SHRINK TUBING', 216276.70364789868)()"
209,117071," 4,543,246 ","FJF - QSIII & QS-2000 SPLICES,FJL - QTII,RUBBER, PORCELAIN TERMI,FJM - QTIII RUBBER TERMINATIONS",0.903304209,"('FJC - ENERGY RESINS', 607302.2056389826)('FIP - ARC PROOFING TAPE', 349173.09423576016)('FIN - ALL MASTICS', 226757.1038989046)"
897,244749," 4,534,058 ","FTM - POLYESTER FILM TAPES,FTB - COMPOSITE, ACETATE & PAPER",1,"('FTZ - 1/S10/S20 EPOXY TAPES', 1573522.822763545)('FTU - 92/1205 & OTH HI-TEMP', 1471109.078875991)('FSQ - GLASS CLOTH TAPES', 1118086.1386345094)"
1704,289947," 4,292,208 ",RWO - WIND PROCESSING AIDS,1,"('RWR - WIND PROTECTION TAPES', 524533.2567405977)('RWA - SOLAR ACRYLIC FOAM TAPES', 192725.82482021238)('FJB - COLD SHRINK TUBING', 157359.9770221793)"
700,216428," 4,282,447 ",RWR - WIND PROTECTION TAPES,1,"('RWO - WIND PROCESSING AIDS', 523340.43925939355)('RWA - SOLAR ACRYLIC FOAM TAPES', 291383.6247336261)('FJB - COLD SHRINK TUBING', 237913.73333333328)"
1886,294044," 4,098,796 ","FTM - POLYESTER FILM TAPES,FTB - COMPOSITE, ACETATE & PAPER,FTZ - 1/S10/S20 EPOXY TAPES",0.987505601,"('FSQ - GLASS CLOTH TAPES', 980227.0572494573)('FTR - OEM REINFORCED FILAMENT TAPE', 845043.5426549562)('FSB - COPPER FOIL TAPES', 748123.0552209938)"
325,135659," 4,078,862 ","FTM - POLYESTER FILM TAPES,FSG - EMC FABRIC & SPECIALTY TAPES,FSA - ALUMINUM FOIL TAPE",0.994859698,"('FTU - 92/1205 & OTH HI-TEMP', 607013.4601810157)('FSB - COPPER FOIL TAPES', 559029.8334961714)('FSD - SPECIALTY FOIL TAPES', 427462.4347620118)"
733,217042," 3,909,360 ","SLR - LIGHT REDIRECTING FILMS,RWI - DIELECTRIC TAPES",1,"('BQD - DIELECTRIC AND COSMETIC FILM', 510288.94222821546)('FJM - QTIII RUBBER TERMINATIONS', 42585.606703060614)()"
197,117033," 3,560,094 ","FJL - QTII,RUBBER, PORCELAIN TERMI,FJI - SEPARABLE CONNECTORS,FJM - QTIII RUBBER TERMINATIONS",1,"('FJF - QSIII & QS-2000 SPLICES', 1372102.5198532923)('FJC - ENERGY RESINS', 599683.0525891308)('FJZ - MISC PRODUCT - POWER PROD', 547432.284989913)"
1060,263872," 3,509,374 ",FIF - CORROSION TAPES,1,"('FIG - 22/66R/FRICTION TAPE', 334605.6506028507)('FIT - SILICONE TAPE', 199965.1232227376)('FIN - ALL MASTICS', 199078.35555743822)"
50,59090," 3,500,142 ","FTM - POLYESTER FILM TAPES,FTB - COMPOSITE, ACETATE & PAPER",1,"('FTU - 92/1205 & OTH HI-TEMP', 1115632.970093389)('FTZ - 1/S10/S20 EPOXY TAPES', 1092264.0507022503)('FSQ - GLASS CLOTH TAPES', 833529.1263861908)"
908,245600," 3,441,761 ","RWO - WIND PROCESSING AIDS,RWR - WIND PROTECTION TAPES",1,"('RWA - SOLAR ACRYLIC FOAM TAPES', 165208.66766869294)('FJB - COLD SHRINK TUBING', 134892.31229111276)()"
864,241349," 3,374,249 ",RWR - WIND PROTECTION TAPES,1,"('RWO - WIND PROCESSING AIDS', 412353.1858963199)('RWA - SOLAR ACRYLIC FOAM TAPES', 229588.53733329533)('FJB - COLD SHRINK TUBING', 187458.2557528332)"
41,58700," 3,347,925 ","FJL - QTII,RUBBER, PORCELAIN TERMI,FJF - QSIII & QS-2000 SPLICES,FJI - SEPARABLE CONNECTORS",0.917594461,"('FJM - QTIII RUBBER TERMINATIONS', 1013552.8960696415)('FJZ - MISC PRODUCT - POWER PROD', 507557.4378449508)('FIP - ARC PROOFING TAPE', 268310.5882985748)"
1091,265592," 3,334,489 ","FJZ - MISC PRODUCT - POWER PROD,FIP - ARC PROOFING TAPE",1,"('FIT - SILICONE TAPE', 583334.6432865487)('FJI - SEPARABLE CONNECTORS', 506949.97273852275)('FJF - QSIII & QS-2000 SPLICES', 448228.32149123953)"
596,213723," 3,281,996 ",SLR - LIGHT REDIRECTING FILMS,1,"('RWI - DIELECTRIC TAPES', 487449.0920874685)('BQD - DIELECTRIC AND COSMETIC FILM', 423703.90580672957)('FJM - QTIII RUBBER TERMINATIONS', 35989.91759925867)"
975,257563," 3,278,442 ","FJG - HIGH VOLTAGE,FIQ - TAPE TERM/SPLICING KITS",1,"('FJM - QTIII RUBBER TERMINATIONS', 200752.45547323622)('FJI - SEPARABLE CONNECTORS', 180274.77943481423)('FJC - ENERGY RESINS', 175870.66145926778)"
1096,266567," 3,184,640 ","FJM - QTIII RUBBER TERMINATIONS,FJF - QSIII & QS-2000 SPLICES,FIL - 23 RUBBER TAPE",0.778720048,"('FJI - SEPARABLE CONNECTORS', 466638.3284929416)('FJC - ENERGY RESINS', 351411.1972571794)('FJZ - MISC PRODUCT - POWER PROD', 340216.58389268786)"
773,222800," 3,144,004 ",RWR - WIND PROTECTION TAPES,1,"('RWO - WIND PROCESSING AIDS', 384215.970838797)('RWA - SOLAR ACRYLIC FOAM TAPES', 213922.39900663926)('FJB - COLD SHRINK TUBING', 174666.90737277773)"
1323,281167," 3,138,931 ",FPV - INTERNAL CHEMICALS ESD,1,"('FIG - 22/66R/FRICTION TAPE', 215328.88740000685)('FQA - LIQUID RESINS', 181986.12535207346)('FTZ - 1/S10/S20 EPOXY TAPES', 151317.7178253231)"
1891,294065," 3,087,994 ",FTM - POLYESTER FILM TAPES,1,"('FTB - COMPOSITE, ACETATE & PAPER', 1300658.5422254547)('FTU - 92/1205 & OTH HI-TEMP', 982298.6302626124)('FTZ - 1/S10/S20 EPOXY TAPES', 951617.2258039989)"
2157,297236," 3,085,970 ",FJG - HIGH VOLTAGE,1,"('FIQ - TAPE TERM/SPLICING KITS', 235302.98305331686)('FJM - QTIII RUBBER TERMINATIONS', 232398.9511257129)('FJL - QTII,RUBBER, PORCELAIN TERMI', 153133.15151955455)"
1926,294318," 3,028,053 ","FTM - POLYESTER FILM TAPES,FTU - 92/1205 & OTH HI-TEMP,FTB - COMPOSITE, ACETATE & PAPER",1,"('FTZ - 1/S10/S20 EPOXY TAPES', 926005.2401656943)('FSQ - GLASS CLOTH TAPES', 716364.2974530802)('FTR - OEM REINFORCED FILAMENT TAPE', 644016.128086235)"
1001,260358," 2,895,003 ",FIB - 88 VINYL TAPE,1,"('FIV - SCOTCHFIL', 1204394.209715177)('FIT - SILICONE TAPE', 910436.4455407232)('FIE - 35 VINYL TAPE', 767747.4220630758)"
312,133175," 2,877,972 ","FTU - 92/1205 & OTH HI-TEMP,FTM - POLYESTER FILM TAPES,FTB - COMPOSITE, ACETATE & PAPER",0.871525449,"('FSB - COPPER FOIL TAPES', 492549.64161134016)('FTR - OEM REINFORCED FILAMENT TAPE', 361822.19732225133)('FSD - SPECIALTY FOIL TAPES', 320694.3506480322)"
171,115150," 2,853,024 ","FJF - QSIII & QS-2000 SPLICES,FJL - QTII,RUBBER, PORCELAIN TERMI,FJI - SEPARABLE CONNECTORS",1,"('FJM - QTIII RUBBER TERMINATIONS', 1173339.850509568)('FJC - ENERGY RESINS', 444293.8877692785)('FJZ - MISC PRODUCT - POWER PROD', 428829.0011658163)"
270,128660," 2,770,272 ","FJF - QSIII & QS-2000 SPLICES,FJZ - MISC PRODUCT - POWER PROD,FJL - QTII,RUBBER, PORCELAIN TERMI",1,"('FJM - QTIII RUBBER TERMINATIONS', 967104.6987336562)('FJI - SEPARABLE CONNECTORS', 604388.3212803144)('FJC - ENERGY RESINS', 434981.84879795276)"
645,214772," 2,716,980 ",RWO - WIND PROCESSING AIDS,1,"('RWR - WIND PROTECTION TAPES', 332031.017237495)('RWA - SOLAR ACRYLIC FOAM TAPES', 121995.9856513663)('FJB - COLD SHRINK TUBING', 99609.3051712485)"
924,247166," 2,709,867 ","FTU - 92/1205 & OTH HI-TEMP,FTM - POLYESTER FILM TAPES,FSB - COPPER FOIL TAPES",0.983293103,"('FSQ - GLASS CLOTH TAPES', 608433.9080555631)('FSD - SPECIALTY FOIL TAPES', 337579.16474304907)('FTF - 60 TO 63 PTFE HI-TEMP TAPES', 323885.7216656893)"
719,216764," 2,614,395 ",RWO - WIND PROCESSING AIDS,1,"('RWR - WIND PROTECTION TAPES', 319494.5747557391)('RWA - SOLAR ACRYLIC FOAM TAPES', 117389.80256085843)('FJB - COLD SHRINK TUBING', 95848.37242672172)"
1950,294407," 2,594,567 ","FSQ - GLASS CLOTH TAPES,FTB - COMPOSITE, ACETATE & PAPER,FTM - POLYESTER FILM TAPES",0.988197916,"('FTU - 92/1205 & OTH HI-TEMP', 624176.1624144433)('FSB - COPPER FOIL TAPES', 493608.8244026741)('FTR - OEM REINFORCED FILAMENT TAPE', 419470.6216378233)"
757,217530," 2,568,184 ",RWO - WIND PROCESSING AIDS,1,"('RWR - WIND PROTECTION TAPES', 313847.2968831308)('RWA - SOLAR ACRYLIC FOAM TAPES', 115314.86017731836)('FJB - COLD SHRINK TUBING', 94154.18906493924)"
1792,291756," 2,566,650 ","FIQ - TAPE TERM/SPLICING KITS,FJI - SEPARABLE CONNECTORS,FJM - QTIII RUBBER TERMINATIONS",0.844862938,"('FJG - HIGH VOLTAGE', 160020.8063411606)('FIP - ARC PROOFING TAPE', 140219.7824234714)('FJX - ENERGY ACCESSORIES & CONNECT', 123770.57926142204)"
311,132858," 2,513,319 ","FTU - 92/1205 & OTH HI-TEMP,FTM - POLYESTER FILM TAPES,FTZ - 1/S10/S20 EPOXY TAPES",0.866774377,"('FSB - COPPER FOIL TAPES', 425354.19570983737)('FTR - OEM REINFORCED FILAMENT TAPE', 294013.8419047763)('FSD - SPECIALTY FOIL TAPES', 268932.2887688216)"
1481,286160," 2,448,537 ","FTU - 92/1205 & OTH HI-TEMP,FTM - POLYESTER FILM TAPES,FTB - COMPOSITE, ACETATE & PAPER",0.911634233,"('FSB - COPPER FOIL TAPES', 420155.5281117842)('FTR - OEM REINFORCED FILAMENT TAPE', 317790.5589182766)('FSD - SPECIALTY FOIL TAPES', 277232.57205175294)"
771,222795," 2,439,561 ",RWR - WIND PROTECTION TAPES,1,"('RWO - WIND PROCESSING AIDS', 298128.79954715195)('RWA - SOLAR ACRYLIC FOAM TAPES', 165991.09056519278)('FJB - COLD SHRINK TUBING', 135531.15791094443)"
1085,264981," 2,392,617 ",RWR - WIND PROTECTION TAPES,1,"('RWO - WIND PROCESSING AIDS', 292392.00644794496)('RWA - SOLAR ACRYLIC FOAM TAPES', 162796.9793477234)('FJB - COLD SHRINK TUBING', 132923.1770227778)"
1392,283324," 2,379,469 ",RWR - WIND PROTECTION TAPES,1,"('RWO - WIND PROCESSING AIDS', 290785.2374549412)('RWA - SOLAR ACRYLIC FOAM TAPES', 161902.36823386874)('FJB - COLD SHRINK TUBING', 132192.7301070555)"
39,58698," 2,367,031 ","FQA - LIQUID RESINS,FTM - POLYESTER FILM TAPES,FTU - 92/1205 & OTH HI-TEMP",0.865709588,"('FIG - 22/66R/FRICTION TAPE', 265856.5878096774)('FPV - INTERNAL CHEMICALS ESD', 97773.85513314379)('FTT - 40 ANTI-STATIC UTILITY TAPE', 91040.8387255431)"
559,200881," 2,309,176 ",RWI - DIELECTRIC TAPES,1,"('BQD - DIELECTRIC AND COSMETIC FILM', 796975.7260847763)('SLR - LIGHT REDIRECTING FILMS', 342963.7460508781)()"
1347,282030," 2,285,537 ",FJG - HIGH VOLTAGE,1,"('FIQ - TAPE TERM/SPLICING KITS', 174270.57749010928)('FJM - QTIII RUBBER TERMINATIONS', 172119.78741296614)('FJL - QTII,RUBBER, PORCELAIN TERMI', 113413.78847775303)"
1579,288391," 2,235,816 ","FTM - POLYESTER FILM TAPES,FSQ - GLASS CLOTH TAPES,FSB - COPPER FOIL TAPES",0.931457622,"('FTB - COMPOSITE, ACETATE & PAPER', 659935.243692122)('FTU - 92/1205 & OTH HI-TEMP', 559059.6417476519)('FTZ - 1/S10/S20 EPOXY TAPES', 538568.7514400491)"
2294,298872," 2,169,238 ",FID - GENERAL USE VINYL-BLACK,1,"('FIN - ALL MASTICS', 322764.26139151416)('FIC - 33 VINYL TAPE', 245064.48936027137)('FIL - 23 RUBBER TAPE', 222146.11498090625)"
23,58650," 2,139,259 ","FPV - INTERNAL CHEMICALS ESD,FTZ - 1/S10/S20 EPOXY TAPES,FPA - FP H.R TUBING",0.946933763,"('FTB - COMPOSITE, ACETATE & PAPER', 276290.48914262897)('FSQ - GLASS CLOTH TAPES', 167576.78869143242)('FTU - 92/1205 & OTH HI-TEMP', 166388.9821981229)"
2554,302398," 2,123,606 ","FJF - QSIII & QS-2000 SPLICES,FJM - QTIII RUBBER TERMINATIONS",1,"('FJL - QTII,RUBBER, PORCELAIN TERMI', 892805.6833240285)('FJI - SEPARABLE CONNECTORS', 434712.39116833353)('FJZ - MISC PRODUCT - POWER PROD', 283187.7611332149)"
1706,289951," 2,116,987 ",RWO - WIND PROCESSING AIDS,1,"('RWR - WIND PROTECTION TAPES', 258708.40635447644)('RWA - SOLAR ACRYLIC FOAM TAPES', 95055.53816056087)('FJB - COLD SHRINK TUBING', 77612.52190634294)"
934,249451," 2,090,912 ","RWO - WIND PROCESSING AIDS,RWR - WIND PROTECTION TAPES",1,"('RWA - SOLAR ACRYLIC FOAM TAPES', 103846.51452800252)('FJB - COLD SHRINK TUBING', 84790.32405337549)()"
1705,289948," 2,055,429 ",RWO - WIND PROCESSING AIDS,1,"('RWR - WIND PROTECTION TAPES', 251185.6651504437)('RWA - SOLAR ACRYLIC FOAM TAPES', 92291.50654802729)('FJB - COLD SHRINK TUBING', 75355.69954513312)"
994,259264," 2,053,923 ",FTM - POLYESTER FILM TAPES,1,"('FTB - COMPOSITE, ACETATE & PAPER', 865109.4271241291)('FTU - 92/1205 & OTH HI-TEMP', 653358.1087602644)('FTZ - 1/S10/S20 EPOXY TAPES', 632950.929340876)"
53,68870," 2,052,556 ",FTM - POLYESTER FILM TAPES,1,"('FTB - COMPOSITE, ACETATE & PAPER', 864533.328381617)('FTU - 92/1205 & OTH HI-TEMP', 652923.0206973377)('FTZ - 1/S10/S20 EPOXY TAPES', 632529.4309465314)"
37,58693," 2,039,151 ","FTM - POLYESTER FILM TAPES,FTU - 92/1205 & OTH HI-TEMP,FTZ - 1/S10/S20 EPOXY TAPES",0.980815925,"('FTR - OEM REINFORCED FILAMENT TAPE', 422593.85134044033)('FSD - SPECIALTY FOIL TAPES', 298288.8494474059)('FTT - 40 ANTI-STATIC UTILITY TAPE', 216586.74478040324)"
649,214958," 2,038,719 ",FTZ - 1/S10/S20 EPOXY TAPES,1,"('FTB - COMPOSITE, ACETATE & PAPER', 838528.8250319437)('FTM - POLYESTER FILM TAPES', 628265.4865156943)('FTU - 92/1205 & OTH HI-TEMP', 516286.42776703247)"
1898,294163," 2,029,696 ","FJF - QSIII & QS-2000 SPLICES,FJM - QTIII RUBBER TERMINATIONS",1,"('FJL - QTII,RUBBER, PORCELAIN TERMI', 842321.6316619443)('FJI - SEPARABLE CONNECTORS', 409152.835856311)('FJZ - MISC PRODUCT - POWER PROD', 266883.5681331854)"
1110,267437," 2,028,390 ",FJG - HIGH VOLTAGE,1,"('FIQ - TAPE TERM/SPLICING KITS', 154663.287538476)('FJM - QTIII RUBBER TERMINATIONS', 152754.4841769047)('FJL - QTII,RUBBER, PORCELAIN TERMI', 100653.53332038017)"
2399,300233," 2,028,011 ","FJF - QSIII & QS-2000 SPLICES,FJI - SEPARABLE CONNECTORS,FJM - QTIII RUBBER TERMINATIONS",1,"('FJL - QTII,RUBBER, PORCELAIN TERMI', 836201.8181856235)('FJC - ENERGY RESINS', 330551.1721588359)('FJZ - MISC PRODUCT - POWER PROD', 307301.2185889545)"
17,58603," 2,006,134 ",FTM - POLYESTER FILM TAPES,1,"('FTB - COMPOSITE, ACETATE & PAPER', 844980.7359835806)('FTU - 92/1205 & OTH HI-TEMP', 638156.2820744463)('FTZ - 1/S10/S20 EPOXY TAPES', 618223.9209828944)"
1389,283293," 2,002,047 ",SLR - LIGHT REDIRECTING FILMS,1,"('RWI - DIELECTRIC TAPES', 297348.227491142)('BQD - DIELECTRIC AND COSMETIC FILM', 258463.10397906625)('FJM - QTIII RUBBER TERMINATIONS', 21954.165838863686)"
292,131221," 1,998,422 ","FIQ - TAPE TERM/SPLICING KITS,FIP - ARC PROOFING TAPE",1,"('FJZ - MISC PRODUCT - POWER PROD', 170160.56576142006)('FJC - ENERGY RESINS', 163969.7077464868)('FJI - SEPARABLE CONNECTORS', 153329.5886542535)"
618,214113," 1,984,964 ","RWO - WIND PROCESSING AIDS,RWR - WIND PROTECTION TAPES",1,"('RWA - SOLAR ACRYLIC FOAM TAPES', 91743.72944125607)('FJB - COLD SHRINK TUBING', 74908.44141034395)()"
352,141550," 1,976,934 ","FTM - POLYESTER FILM TAPES,FPV - INTERNAL CHEMICALS ESD,FHA - HIGH TEMP FLEX ELECTRICAL IN",0.984700537,"('FTU - 92/1205 & OTH HI-TEMP', 418042.8385239891)('FSQ - GLASS CLOTH TAPES', 329704.56379204517)('FSB - COPPER FOIL TAPES', 252618.34348049544)"
1480,286159," 1,934,600 ","FTM - POLYESTER FILM TAPES,FTU - 92/1205 & OTH HI-TEMP,FTB - COMPOSITE, ACETATE & PAPER",0.851923746,"('FSB - COPPER FOIL TAPES', 329602.72295823274)('FTR - OEM REINFORCED FILAMENT TAPE', 289099.60987835785)('FSD - SPECIALTY FOIL TAPES', 219769.89875026775)"
2085,296416," 1,932,506 ","FJL - QTII,RUBBER, PORCELAIN TERMI,FJF - QSIII & QS-2000 SPLICES,FJI - SEPARABLE CONNECTORS",1,"('FJM - QTIII RUBBER TERMINATIONS', 606187.2488485422)('FJC - ENERGY RESINS', 310614.0851279666)('FJZ - MISC PRODUCT - POWER PROD', 293284.8815939926)"
1931,294327," 1,819,181 ","FTB - COMPOSITE, ACETATE & PAPER,FTM - POLYESTER FILM TAPES,FTZ - 1/S10/S20 EPOXY TAPES",0.998786097,"('FSQ - GLASS CLOTH TAPES', 470445.22880101955)('FTR - OEM REINFORCED FILAMENT TAPE', 223752.76284234223)('FSB - COPPER FOIL TAPES', 219301.74681086018)"
295,131241," 1,816,717 ","FIR - 13 SEMI-CONDUCTING TAPE,FIL - 23 RUBBER TAPE,FJF - QSIII & QS-2000 SPLICES",0.898840436,"('FJX - ENERGY ACCESSORIES & CONNECT', 258236.54093398465)('FIC - 33 VINYL TAPE', 239368.00295737208)('FIN - ALL MASTICS', 219406.4740175974)"
220,117548," 1,813,725 ","FJL - QTII,RUBBER, PORCELAIN TERMI,FJG - HIGH VOLTAGE,FJZ - MISC PRODUCT - POWER PROD",0.80323743,"('FIT - SILICONE TAPE', 123801.36874709505)('FIP - ARC PROOFING TAPE', 113599.12579257117)('FIQ - TAPE TERM/SPLICING KITS', 98936.68612738117)"
245,123536," 1,800,497 ","FTM - POLYESTER FILM TAPES,FTU - 92/1205 & OTH HI-TEMP,FTB - COMPOSITE, ACETATE & PAPER",0.997048238,"('FSQ - GLASS CLOTH TAPES', 420756.0922416742)('FTR - OEM REINFORCED FILAMENT TAPE', 332956.52345072833)('FSD - SPECIALTY FOIL TAPES', 258201.718727874)"
9,58572," 1,786,015 ","FJM - QTIII RUBBER TERMINATIONS,FJF - QSIII & QS-2000 SPLICES,FJL - QTII,RUBBER, PORCELAIN TERMI",1,"('FJI - SEPARABLE CONNECTORS', 324117.2722093685)('FJZ - MISC PRODUCT - POWER PROD', 214399.44966828308)('FJC - ENERGY RESINS', 201868.30007504058)"
318,134603," 1,768,446 ","FTM - POLYESTER FILM TAPES,FSQ - GLASS CLOTH TAPES,FSB - COPPER FOIL TAPES",0.965887295,"('FTB - COMPOSITE, ACETATE & PAPER', 560573.0861345121)('FTU - 92/1205 & OTH HI-TEMP', 464358.1362257637)('FTZ - 1/S10/S20 EPOXY TAPES', 446865.72232295386)"
1077,264764," 1,732,438 ",FIQ - TAPE TERM/SPLICING KITS,1,"('FJC - ENERGY RESINS', 140965.13535112285)('FJG - HIGH VOLTAGE', 132097.15909493848)('FJI - SEPARABLE CONNECTORS', 128652.69217945678)"
27,58659," 1,718,050 ",FTM - POLYESTER FILM TAPES,1,"('FTB - COMPOSITE, ACETATE & PAPER', 723640.2421375209)('FTU - 92/1205 & OTH HI-TEMP', 546516.0882566036)('FTZ - 1/S10/S20 EPOXY TAPES', 529446.0439438497)"
2168,297418," 1,716,425 ","FJF - QSIII & QS-2000 SPLICES,FJM - QTIII RUBBER TERMINATIONS",1,"('FJL - QTII,RUBBER, PORCELAIN TERMI', 741723.400021517)('FJI - SEPARABLE CONNECTORS', 362937.6390646001)('FJC - ENERGY RESINS', 237515.1935395011)"
465,165837," 1,657,387 ","FTM - POLYESTER FILM TAPES,FTU - 92/1205 & OTH HI-TEMP,FTB - COMPOSITE, ACETATE & PAPER",1,"('FTZ - 1/S10/S20 EPOXY TAPES', 503004.00434626447)('FSQ - GLASS CLOTH TAPES', 391080.86001463817)('FTR - OEM REINFORCED FILAMENT TAPE', 342848.64936600765)"
3719,327017," 1,622,806 ","FJI - SEPARABLE CONNECTORS,FJL - QTII,RUBBER, PORCELAIN TERMI,FJF - QSIII & QS-2000 SPLICES",1,"('FJM - QTIII RUBBER TERMINATIONS', 341925.31239167415)('FJC - ENERGY RESINS', 322289.88908177003)('FJZ - MISC PRODUCT - POWER PROD', 272916.06062702095)"
1532,287916," 1,619,265 ","FJF - QSIII & QS-2000 SPLICES,FJZ - MISC PRODUCT - POWER PROD,FJI - SEPARABLE CONNECTORS",1,"('FJL - QTII,RUBBER, PORCELAIN TERMI', 519938.1470523048)('FJM - QTIII RUBBER TERMINATIONS', 480709.4743728718)('FJC - ENERGY RESINS', 253319.60429873486)"
293,131227," 1,566,744 ","FJM - QTIII RUBBER TERMINATIONS,FJF - QSIII & QS-2000 SPLICES",1,"('FJL - QTII,RUBBER, PORCELAIN TERMI', 605242.6769783295)('FJI - SEPARABLE CONNECTORS', 289942.6577181203)('FJZ - MISC PRODUCT - POWER PROD', 190561.36143076245)"
2889,307527," 1,558,904 ",RWR - WIND PROTECTION TAPES,1,"('RWO - WIND PROCESSING AIDS', 190507.35093527046)('RWA - SOLAR ACRYLIC FOAM TAPES', 106070.00393945514)('FJB - COLD SHRINK TUBING', 86605.79555555555)"
1090,265590," 1,543,681 ",RWR - WIND PROTECTION TAPES,1,"('RWO - WIND PROCESSING AIDS', 188646.94865483974)('RWA - SOLAR ACRYLIC FOAM TAPES', 105034.17578770417)('FJB - COLD SHRINK TUBING', 85760.04541122219)"
