,InAcc ID, 2020 total amount ,GSC Top3,GSC Top3 pct,GSC Recommendation Top3
567,211007," 24,939 ",FID - GENERAL USE VINYL-BLACK,1,"('FIN - ALL MASTICS', 3710.6679685523036)('FIC - 33 VINYL TAPE', 2817.3904600786564)('FIL - 23 RUBBER TAPE', 2553.908755709773)"
1344,281940," 24,925 ","FJL - QTII,RUBBER, PORCELAIN TERMI,FJF - QSIII & QS-2000 SPLICES",1,"('FJM - QTIII RUBBER TERMINATIONS', 8204.053792762543)('FJI - SEPARABLE CONNECTORS', 5090.9689105608395)('FJZ - MISC PRODUCT - POWER PROD', 3587.265307819518)"
3674,320116," 24,913 ",FSD - SPECIALTY FOIL TAPES,1,"('FSB - COPPER FOIL TAPES', 4876.433294908635)('FTR - OEM REINFORCED FILAMENT TAPE', 4777.909334898031)('FSA - ALUMINUM FOIL TAPE', 3970.198839816784)"
442,159636," 24,872 ","FTR - OEM REINFORCED FILAMENT TAPE,FTM - POLYESTER FILM TAPES",1,"('FSD - SPECIALTY FOIL TAPES', 4712.213916692543)('FSB - COPPER FOIL TAPES', 4562.413127109058)('FSQ - GLASS CLOTH TAPES', 4179.932151787231)"
1424,284217," 24,840 ","FJM - QTIII RUBBER TERMINATIONS,FJL - QTII,RUBBER, PORCELAIN TERMI",1,"('FJF - QSIII & QS-2000 SPLICES', 11850.932569604347)('FJI - SEPARABLE CONNECTORS', 3914.7017295047845)('FJZ - MISC PRODUCT - POWER PROD', 2690.25000230193)"
1641,289011," 24,785 ",FIM - 130C RUBBER TAPE,1,"('FIT - SILICONE TAPE', 6958.303964411469)('FIN - ALL MASTICS', 6927.446588577526)('FIV - SCOTCHFIL', 6903.728188735343)"
1853,293768," 24,745 ",FTM - POLYESTER FILM TAPES,1,"('FTB - COMPOSITE, ACETATE & PAPER', 10422.641151748865)('FTU - 92/1205 & OTH HI-TEMP', 7871.509542822791)('FTZ - 1/S10/S20 EPOXY TAPES', 7625.648497573633)"
1438,285398," 24,689 ","FJL - QTII,RUBBER, PORCELAIN TERMI,FJI - SEPARABLE CONNECTORS,FJM - QTIII RUBBER TERMINATIONS",1,"('FJF - QSIII & QS-2000 SPLICES', 10177.609013454967)('FJC - ENERGY RESINS', 3705.4295001754685)('FJZ - MISC PRODUCT - POWER PROD', 3525.4319039868656)"
3554,318975," 24,555 ",FKK - COMFORT GRIP GLOVES,1,"('FKM - AEROSOLS,SCOTCHKOTE', 3176.2516713601613)('FIE - 35 VINYL TAPE', 2602.6442870705177)('FIM - 130C RUBBER TAPE', 2246.427109646666)"
770,222792," 24,530 ",FTU - 92/1205 & OTH HI-TEMP,1,"('FTB - COMPOSITE, ACETATE & PAPER', 8216.586506591822)('FTM - POLYESTER FILM TAPES', 7803.053888650853)('FTZ - 1/S10/S20 EPOXY TAPES', 6211.991723097714)"
2047,295909," 24,494 ",FJF - QSIII & QS-2000 SPLICES,1,"('FJL - QTII,RUBBER, PORCELAIN TERMI', 11754.792122876344)('FJM - QTIII RUBBER TERMINATIONS', 11662.201643204151)('FJI - SEPARABLE CONNECTORS', 5853.058913166738)"
200,117037," 24,454 ","FJL - QTII,RUBBER, PORCELAIN TERMI",1,"('FJF - QSIII & QS-2000 SPLICES', 11735.624875226384)('FJM - QTIII RUBBER TERMINATIONS', 7657.588724859973)('FJI - SEPARABLE CONNECTORS', 4902.43392437511)"
1229,276462," 24,453 ","FTB - COMPOSITE, ACETATE & PAPER,FTU - 92/1205 & OTH HI-TEMP,FTM - POLYESTER FILM TAPES",1,"('FTZ - 1/S10/S20 EPOXY TAPES', 9264.887288376458)('FSQ - GLASS CLOTH TAPES', 6212.191704186052)('FSB - COPPER FOIL TAPES', 3087.2897770882437)"
2477,301666," 24,364 ",FID - GENERAL USE VINYL-BLACK,1,"('FIN - ALL MASTICS', 3625.1073172858346)('FIC - 33 VINYL TAPE', 2752.427018272702)('FIL - 23 RUBBER TAPE', 2495.0206799601883)"
2101,296727," 24,306 ","FIN - ALL MASTICS,FID - GENERAL USE VINYL-BLACK",1,"('FIC - 33 VINYL TAPE', 6193.530696769679)('FIM - 130C RUBBER TAPE', 5757.532049386448)('FIL - 23 RUBBER TAPE', 5004.9917278653875)"
